Start Node,Target Node,Random Walk Nodes Visited,Shortest Path Nodes Visited
V4,V6,5,3
V5,V6,8,4
V2,V7,18,4
V4,V1,6,4
V6,V7,4,2
V7,V4,4,2
V2,V3,2,2
V1,V2,2,2
V5,V1,53,5
V7,V2,34,4
V4,V3,8,2
V2,V1,38,2
V2,V6,3,3
V4,V5,2,2
V1,V4,6,4
V1,V6,8,4
V2,V3,2,2
V5,V6,8,4
V1,V5,21,5
V7,V1,11,5
V6,V7,2,2
V3,V4,32,2
V1,V2,2,2
V4,V6,5,3
V4,V2,7,3
V2,V4,21,3
V4,V7,6,2
V1,V5,17,5
V6,V4,3,3
V5,V1,41,5
V6,V7,4,2
V7,V5,19,3
V4,V2,23,3
V4,V6,9,3
V7,V6,8,2
V3,V7,5,3
V5,V6,6,4
V6,V7,10,2
V5,V6,8,4
V1,V7,7,5
V3,V1,9,3
V1,V4,6,4
V2,V4,7,3
V5,V4,2,2
V2,V1,2,2
V2,V3,2,2
V2,V1,10,2
V5,V4,2,2
V3,V2,32,2
V4,V3,2,2
V3,V4,18,2
V5,V7,5,3
V4,V6,19,3
V5,V1,43,5
V7,V5,5,3
V4,V6,7,3
V7,V1,47,5
V3,V5,35,3
V4,V1,16,4
V3,V2,8,2
V5,V3,5,3
V4,V1,8,4
V1,V6,12,4
V6,V3,2,2
V2,V1,2,2
V5,V1,9,5
V2,V4,3,3
V7,V1,111,5
V5,V3,5,3
V4,V1,10,4
V7,V2,10,4
V7,V2,4,4
V3,V4,4,2
V4,V1,10,4
V2,V4,5,3
V1,V2,2,2
V1,V7,15,5
V2,V7,10,4
V4,V5,6,2
V2,V3,4,2
V7,V6,26,2
V1,V7,33,5
V7,V5,7,3
V4,V5,26,2
V1,V3,5,3
V4,V6,5,3
V7,V5,3,3
V1,V4,4,4
V2,V3,4,2
V2,V4,13,3
V5,V3,13,3
V5,V2,18,4
V3,V4,24,2
V1,V4,4,4
V1,V2,2,2
V5,V2,10,4
V2,V6,5,3
V3,V4,14,2
V3,V2,2,2
V3,V7,57,3
V1,V5,31,5
V1,V4,16,4
V4,V5,12,2
V7,V6,6,2
V1,V7,17,5
V5,V6,4,4
V4,V7,2,2
V1,V6,14,4
V3,V7,27,3
V1,V4,6,4
V6,V2,13,3
V3,V2,4,2
V1,V4,4,4
V3,V5,9,3
V4,V6,3,3
V2,V6,3,3
V3,V5,19,3
V4,V6,3,3
V3,V6,4,2
V4,V2,13,3
V3,V4,6,2
V4,V3,4,2
V7,V2,6,4
V4,V6,3,3
V4,V6,7,3
V7,V2,10,4
V6,V2,3,3
V3,V1,25,3
V6,V5,4,4
V4,V3,6,2
V3,V1,3,3
V4,V6,41,3
V6,V4,13,3
V4,V7,38,2
V7,V1,23,5
V3,V6,18,2
V3,V6,2,2
V5,V1,5,5
V3,V2,2,2
V2,V3,2,2
V1,V4,14,4
V6,V4,35,3
V3,V7,7,3
V3,V4,4,2
V6,V5,4,4
V2,V3,4,2
V1,V5,23,5
V4,V5,76,2
V7,V2,4,4
V5,V1,13,5
V4,V2,9,3
V4,V2,19,3
V5,V3,3,3
V2,V6,7,3
V1,V4,10,4
V6,V4,9,3
V1,V3,11,3
V3,V7,3,3
V6,V4,3,3
V4,V6,7,3
V5,V6,14,4
V4,V2,17,3
V5,V4,2,2
V2,V7,10,4
V7,V5,15,3
V1,V6,10,4
V7,V3,3,3
V5,V1,51,5
V7,V5,53,3
V2,V5,76,4
V6,V7,4,2
V2,V6,9,3
V4,V7,12,2
V6,V4,3,3
V6,V3,14,2
V5,V7,5,3
V5,V3,17,3
V7,V4,2,2
V4,V5,4,2
V1,V3,3,3
V3,V7,5,3
V1,V3,9,3
V3,V4,2,2
V3,V4,2,2
V3,V7,3,3
V7,V6,2,2
V5,V7,15,3
V5,V6,16,4
V1,V2,2,2
V4,V3,4,2
V4,V1,62,4
V3,V5,41,3
V7,V3,7,3
V7,V1,17,5
V7,V3,3,3
V4,V6,7,3
V4,V2,21,3
V7,V5,17,3
V4,V5,2,2
V5,V2,40,4
V4,V3,2,2
V6,V1,10,4
V7,V1,31,5
V4,V1,16,4
V7,V6,6,2
V1,V6,6,4
V3,V1,11,3
V1,V2,2,2
V2,V1,4,2
V3,V4,18,2
V4,V2,31,3
V2,V6,17,3
V5,V4,2,2
V3,V2,26,2
V1,V6,4,4
V5,V3,5,3
V2,V7,38,4
V7,V1,39,5
V4,V6,11,3
V3,V5,39,3
V1,V6,12,4
V4,V2,11,3
V7,V2,12,4
V5,V7,15,3
V5,V3,3,3
V6,V7,2,2
V5,V2,8,4
V2,V7,16,4
V1,V5,25,5
V7,V1,49,5
V6,V2,11,3
V6,V5,34,4
V6,V2,19,3
V6,V4,3,3
V2,V5,136,4
V3,V2,4,2
V3,V6,10,2
V6,V7,2,2
V4,V2,5,3
V3,V4,4,2
V4,V1,48,4
V7,V1,45,5
V3,V5,11,3
V7,V6,2,2
V2,V6,5,3
V7,V2,48,4
V2,V4,3,3
V4,V7,2,2
V4,V3,6,2
V7,V6,2,2
V5,V7,7,3
V4,V7,26,2
V1,V6,4,4
V5,V7,11,3
V5,V3,5,3
V3,V2,4,2
V6,V7,2,2
V3,V6,12,2
V3,V6,14,2
V7,V6,2,2
V2,V1,2,2
V5,V2,6,4
V5,V2,32,4
V4,V7,2,2
V1,V6,8,4
V4,V3,4,2
V2,V7,6,4
V4,V1,20,4
V6,V7,4,2
V4,V3,2,2
V3,V4,2,2
V6,V4,5,3
V2,V4,9,3
V1,V4,6,4
V7,V1,19,5
V3,V2,14,2
V7,V3,17,3
V3,V4,6,2
V7,V4,2,2
V7,V3,5,3
V3,V4,2,2
V7,V1,7,5
V1,V6,8,4
V3,V4,4,2
V7,V5,3,3
V6,V5,48,4
V2,V7,10,4
V1,V4,16,4
V3,V1,105,3
V3,V5,15,3
V6,V3,2,2
